Character,Pinyin,Frequency,Log_frequency,Frequency_per_million,CD,Log_CD,Strokes,PSY_Tone,PSY_Rhyme,Gloss
江,jiāng,145127,5.161748217814528,2825.723773005869,121801,5.085650853918359,6,level,sp03,large river
君,jūn,143948,5.158205635209252,2802.767821815712,108723,5.03632142740242,7,level,sp12,"sovereign, monarch, ruler, chief, prince"
未,wèi,142858,5.154904565744817,2781.5447626153123,124057,5.0936212746590375,5,oblique,q05,not yet
白,bái,142234,5.153003423731231,2769.3950479904966,124601,5.09552152781865,5,oblique,r11,white
归,guī,140975,5.14914210326039,2744.8814410792093,124661,5.095730606373884,5,level,sp05,return
得,dé,140592,5.147960609057185,2737.424164314298,119848,5.078630791008711,11,oblique,r13,"obtain, get, gain, acquire"
雨,yǔ,140123,5.146509426886436,2728.292407649172,126290,5.101368963249251,8,oblique,s07|q07,rain
子,zi,136902,5.13640979278424,2665.577294177165,109458,5.039247508515977,3,oblique,s04,"offspring, child"
千,qiān,132023,5.120649597137295,2570.5797658847346,116240,5.065355601289965,3,level,xp01,thousand
三,sān,130627,5.116032952889115,2543.3986735510116,112093,5.049578492556663,3,level|oblique,q28|xp13,three
是,shì,128157,5.107742332551843,2495.3060531611154,108017,5.0334921112756845,9,oblique,s04,"indeed, yes, right"
今,jīn,128150,5.107718610520262,2495.1697582855163,112509,5.051187264616265,4,level,xp12,"now, today, modern era"
行,xíng,128003,5.107220148305507,2492.3075658979396,107240,5.030356805310841,6,level|oblique,xp07|xp08|q23|q24,go
高,gāo,127914,5.106918079975168,2490.574673908182,111991,5.049183122604203,10,level,xp04,"high, tall"
明,míng,127798,5.106524057298434,2488.316073112543,110643,5.043923942822351,8,level,xp08,"bright, light, brilliant"
里,lǐ,126720,5.1028451642454185,2467.3266622703136,112175,5.049896078205111,7,oblique,s04|q04,unit of distance
空,kōng,126715,5.10282802791926,2467.2293087877424,111702,5.048060949133404,8,level|oblique,q01|sp01|s01,"empty, hollow, bare, deserted"
见,jiàn,126094,5.100694421792064,2455.138006252469,107151,5.029996228503888,4,oblique,q17,"see, observe, behold"
青,qīng,125441,5.098439507495583,2442.4236414287434,107870,5.032900678732676,8,level,xp09,"blue, green"
去,qù,123951,5.093250034877378,2413.4123036226924,108683,5.036161617834403,5,oblique,q06|s06,"go away, leave, depart"
万,wàn,123798,5.092713628561482,2410.433287056031,106529,5.02746785026806,3,oblique,q14,ten thousand
老,lǎo,123047,5.090071029665571,2395.8107939739207,108505,5.035449751294014,6,oblique,s19,"old, aged"
夜,yè,122020,5.086431020656368,2375.814388653911,107551,5.031614452775204,8,oblique,q22,"night, dark"
下,xià,121583,5.084872855180776,2367.305694277237,105920,5.024977972095624,3,oblique,q22|s21,"under, underneath, below"
事,shì,121314,5.0839109226464645,2362.0680769149367,105707,5.024103747579076,8,oblique,q04,"affair, matter, business"
寒,hán,120787,5.0820201947811645,2351.8070198519913,108868,5.036900244625536,12,level,sp14,"cold, wintry, chilly"
谁,shuí,118679,5.074373878255592,2310.762791600209,106354,5.026753828467797,10,level,sp04,who? whom? whose? anyone?
玉,yù,117817,5.07120796000553,2293.979051205031,101863,5.008016462575086,5,oblique,r02,"jade, precious stone, gem"
在,zài,117098,5.068549477511462,2279.9796204113727,101677,5.007222723790381,6,oblique,r17|q11|s10,"be at, in, on"
家,jiā,114554,5.0590102584978975,2230.4461684794305,98164,4.991952246770025,10,level|oblique,xp06|r17,"house, home, residence"
