Character,Pinyin,Frequency,Log_frequency,Frequency_per_million,CD,Log_CD,Strokes,PSY_Tone,PSY_Rhyme,Gloss
润,rùn,7522,3.8763333290863797,146.4585791792716,7390,3.8686444383948255,10,oblique,q12,"soft, moist"
否,fǒu,7518,3.876102321377793,146.3806963932151,7319,3.8644517471581827,7,oblique,s07|s25|s04,"not, no, negative"
符,fú,7515,3.8759289849229264,146.3222843036727,7290,3.862727528317974,11,level,sp07,"i.d. tag, tally, symbol, charm"
泊,pō,7484,3.874133778827972,145.71869271173472,7361,3.866936817731639,8,oblique,r10,anchor vessel
请,qǐng,7467,3.8731461513282555,145.38769087099456,7138,3.853576543619641,10,oblique,q24|s23,"ask, request"
姓,xìng,7466,3.8730879855902853,145.36822017448043,7266,3.861295393526695,8,oblique,q24|r17,one's family name
束,shù,7465,3.873029812061044,145.3487494779663,7297,3.863144346252667,7,oblique,r02,"bind, control, restrain"
蛇,shé,7464,3.8729716307384434,145.32927878145216,7057,3.8486201174341335,11,level,xp06|sp04,snake
麦,mài,7459,3.8726806071519295,145.23192529888152,6944,3.841609712168435,7,oblique,r11,"wheat, barley, oats"
冻,dòng,7458,3.872622379025288,145.2124546023674,7189,3.856668483611535,7,oblique,q01,freeze
排,pái,7444,3.8718063644587293,144.9398648511696,7235,3.8594385354550558,11,level,sp09,"row, rank, line"
丁,dīng,7441,3.871631304537553,144.8814527616272,6716,3.827110687466011,2,level,xp09|xp08,male adult
蛮,mán,7437,3.871397781487483,144.8035699755707,7101,3.8513195126487445,12,level,sp15,barbarians
鲁,lǔ,7422,3.8705209500127635,144.51150952785878,7051,3.8482507146770426,12,oblique,s07,"foolish, stupid, rash"
制,zhì,7421,3.87046243158892,144.49203883134467,7031,3.847017097935354,8,oblique,q08,system
辟,pì,7407,3.8696423446515946,144.21944908014686,7090,3.850646235183066,13,oblique,r11,"law, rule"
续,xù,7405,3.869525062857227,144.1805076871186,7186,3.8564872128686303,11,oblique,r02,"continue, carry on"
巷,xiàng,7401,3.869290404209398,144.1026249010621,7178,3.8560034539972206,9,oblique,q03,"alley, lane"
虞,yú,7401,3.869290404209398,144.1026249010621,7082,3.850155922422092,13,level,sp07,"concerned about, anxious, worried"
棠,táng,7394,3.868879446237088,143.96633002546318,7200,3.857332496431268,12,level,xp07,crab apple tree
戎,róng,7379,3.867997510344951,143.6742695777513,7018,3.8462133638793867,6,level,sp01,"arms, armaments"
认,rèn,7376,3.8678209080455725,143.6158574882089,7193,3.8569100603007858,4,oblique,q12,"recognize, know, understand"
网,wǎng,7375,3.8677620246502005,143.59638679169475,7072,3.849542252005016,6,oblique,s22,net
藤,téng,7370,3.867467487859051,143.49903330912412,7068,3.849296540834726,18,level,xp10,"rattan, cane"
己,jǐ,7363,3.867054800476701,143.36273843352524,6978,3.843730965112092,3,oblique,s04,"self, oneself"
打,dǎ,7345,3.865991800126275,143.01226589627092,6693,3.8256208250034995,5,oblique,s23|s21,"strike, hit, beat"
迁,qiān,7333,3.8652816849956104,142.7786175381014,7110,3.851869600729766,6,level,xp01,"move, shift, change"
迥,jiǒng,7324,3.8647483356296584,142.60338126947423,7187,3.8565476448567475,8,oblique,s24,"distant, far"
朔,shuò,7322,3.864629724545512,142.564439876446,7134,3.8533331050023345,10,oblique,r03,first day of lunar month
麟,lín,7320,3.8645110810583914,142.52549848341772,7044,3.847819347295239,23,level,sp11,female of Chinese unicorn
慈,cí,7319,3.8644517471581827,142.5060277869036,6775,3.8309092995464433,13,level,sp04,"kind, charitable, benevolent"
芦,lú,7318,3.8643924051505887,142.48655709038945,7026,3.8467081454560064,7,level,sp07,"rushes, reeds"
碎,suì,7299,3.8632633636504807,142.11661385662103,7061,3.8488662114947787,13,oblique,q11,"break, smash"
番,fān,7293,3.8629062135629977,141.99978967753626,6648,3.8226910107760546,12,level,xp05|sp13,to take turns
栽,zāi,7287,3.8625487695247926,141.88296549845148,7034,3.847202363980923,10,level|oblique,sp10|q11,"to cultivate, plant"
缕,lǚ,7254,3.8605775512444147,141.24043251348525,6804,3.8327643049405307,12,oblique,s07,thread
趁,chèn,7221,3.8585973449946924,140.59789952851904,7123,3.852662944344569,12,oblique,s16|q12,"take advantage of, avail oneself"
快,kuài,7209,3.857875025523562,140.3642511703495,6961,3.8426716337607885,7,oblique,q10,"rapid, quick, speedy, fast"
探,tàn,7198,3.857211842316892,140.15007350869408,7065,3.8491121661845766,11,level|oblique,q28|xp13,"find, locate"
具,jù,7196,3.857091154673513,140.1111321156658,6932,3.840858554041879,8,oblique,q07,"tool, implement"
堆,duī,7196,3.857091154673513,140.1111321156658,6977,3.8436687229791437,11,level,sp10,"heap, pile, crowd"
困,kùn,7193,3.8569100603007858,140.05272002612344,7003,3.845284126347991,7,oblique,q14,"to surround, besiege"
歇,xiē,7168,3.855397996654068,139.56595261327024,6985,3.8441664104502,13,oblique,r06,"rest, stop, lodge"
衫,shān,7154,3.8545489358129505,139.29336286207246,6976,3.8436064719245104,8,level,xp15,shirt
麻,má,7151,3.8543667780408692,139.23495077253006,6932,3.840858554041879,11,level,xp06,"hemp, jute, flax"
印,yìn,7151,3.8543667780408692,139.23495077253006,6723,3.8275631112547233,5,oblique,q12,"print, seal, stamp, chop, mark"
犬,quǎn,7107,3.851686315442427,138.37824012590843,6869,3.8368935163764335,4,oblique,s16,dog
融,róng,7100,3.8512583487190746,138.24194525030953,6334,3.8016780590358925,16,level,sp01,"melt, fuse"
委,wěi,7095,3.8509523997934925,138.1445917677389,6819,3.8337206904446335,8,level|oblique,s04|sp04|q04,"appoint, send, commission"
宛,wǎn,7083,3.850217241798389,137.91094340956937,6453,3.809761665107125,8,level|oblique,sp13|s13,"seem, as if, crooked"
朋,péng,7081,3.8500945943867,137.8720020165411,6936,3.8411090844681532,8,level,xp10,"friend, pal, acquaintance"
袍,páo,7061,3.8488662114947787,137.48258808625854,6906,3.8392265740134355,10,level,xp04,"long gown, robe, cloak"
驿,yì,7059,3.8487431818956837,137.44364669323028,6857,3.8361341494653742,8,oblique,r11,relay station
蕊,ruǐ,7051,3.8482507146770426,137.28788112111724,6794,3.832125542534009,15,oblique,s04,"unopened flowers, flower buds"
刻,kè,7025,3.8466463285771173,136.78164301174994,6773,3.830781075606361,8,oblique,r13,"carve, engrave"
错,cuò,7015,3.8460276753643785,136.58693604660866,6598,3.819412311209325,13,oblique,q07|r10,"error, blunder, mistake"
岛,dǎo,6993,3.844663528240239,136.1585807232978,6788,3.8317418336456375,7,oblique,s19,island
庆,qìng,6986,3.8442285813016275,136.02228584769892,6628,3.8213824997472985,6,level|oblique,xp07|q24,"congratulate, celebrate"
弓,gōng,6970,3.8432327780980087,135.71075470347287,6703,3.8262692193937258,3,level,sp01,bow
纱,shā,6961,3.8426716337607885,135.53551843484573,6757,3.8297539189249745,7,level,xp06,"gauze, thin silk"
费,fèi,6954,3.8422346863472394,135.39922355924682,6798,3.8323811602470403,9,oblique,q05|q04,"expenses, expenditures, fee"
璧,bì,6930,3.8407332346118066,134.93192684290776,6740,3.8286598965353194,18,oblique,r11,piece of jade with hole in it
遮,zhē,6929,3.840670561333409,134.91245614639362,6735,3.828337600059004,14,level,xp06,"cover, shield, protect"
徘,pái,6918,3.8399805576783423,134.6982784847382,6729,3.82795052830263,11,level,sp10,"walk back and forth, hesitate"
崇,chóng,6897,3.838660225988941,134.28939385794152,6516,3.8139810756364714,11,level,sp01,"esteem, honor, revere, venerate"
继,jì,6895,3.838534270511868,134.25045246491325,6663,3.823669813268136,10,oblique,q08,"continue, maintain, carry on"
仲,zhòng,6871,3.8370199485409078,133.7831557485742,6531,3.8149796837607566,6,oblique,q01,middle brother
抚,fǔ,6854,3.8359441000938475,133.452153907834,6653,3.823017523446049,7,oblique,s07,"pat, console, comfort"
料,liào,6844,3.8353100008690624,133.25744694269272,6736,3.828402078491593,10,level|oblique,q18|xp02,"consider, conjecture"
掌,zhǎng,6838,3.834929096460576,133.14062276360798,6696,3.825815444985203,12,oblique,s22,"palm of hand, sole of foot, paw"
典,diǎn,6833,3.8346114207226867,133.04326928103734,6541,3.8156441491319653,8,oblique,s16,"law, canon"
触,chù,6832,3.834547857680948,133.0237985845232,6644,3.8224296237793562,13,oblique,r02,"butt, ram, gore"
旁,páng,6822,3.8339117150713777,132.82909161938193,6578,3.8180938691466353,10,level,xp07,side
霏,fēi,6817,3.8335932939984554,132.7317381368113,4932,3.6930230679236935,16,level,sp05,falling of snow and rain
建,jiàn,6803,3.832700470960567,132.45914838561347,6541,3.8156441491319653,8,oblique,q14,"build, establish, erect, found"
劫,jié,6802,3.832636627596703,132.43967768909934,6334,3.8016780590358925,7,oblique,r17|r15,"take by force, coerce"
坚,jiān,6795,3.832189461068513,132.30338281350043,6555,3.816572696026103,7,level,xp01,"hard, strong, firm"
祝,zhù,6793,3.832061614590727,132.26444142047222,6474,3.8111726950665537,9,oblique,r01,pray for happiness or blessings
弱,ruò,6787,3.831677849191466,132.14761724138745,6600,3.8195439355418683,10,oblique,r10,weak
濛,méng,6773,3.830781075606361,131.87502749018964,4906,3.690727543870367,16,level,sp01,"drizzling, misty, raining"
蛟,jiāo,6762,3.83007516642975,131.66084982853423,6571,3.8176314671905147,12,level,xp03,scaly dragon with four legs
芜,wú,6762,3.83007516642975,131.66084982853423,6658,3.823343790820648,7,level,sp07,luxurious growth of weeds
旦,dàn,6744,3.8289175616166853,131.31037729127993,6413,3.807061239917239,5,oblique,q15,dawn
亩,mǔ,6738,3.8285310066451013,131.19355311219516,6536,3.8153120435243584,7,oblique,s07|s25,Chinese land measure
超,chāo,6728,3.827885982789855,130.99884614705388,6423,3.8077379220141,12,level|oblique,xp02|r17,"jump over, leap over"
插,chā,6724,3.8276277047674334,130.92096336099738,6601,3.8196097327515846,12,oblique,r17,"insert, stick into"
凡,fán,6707,3.8265283063406508,130.5899615202572,6329,3.801335095674546,3,level,xp15,"all, any, every"
艰,jiān,6700,3.8260748027008256,130.45366664465828,6517,3.814047720995599,8,level,sp15,"difficult, hard"
濯,zhuó,6685,3.8251014115980024,130.16160619694637,5985,3.777064154742429,17,oblique,r03,"wash out, rinse"
鹊,què,6678,3.8246464147183517,130.0253113213475,6427,3.8080082999103997,13,oblique,r10,magpie
妾,qiè,6664,3.823734988398731,129.75272157014967,4601,3.662852233264796,8,oblique,r16,concubine
加,jiā,6662,3.8236046283551577,129.7137801771214,6445,3.8092229216894213,5,level,xp06,"add to, increase, augment"
厚,hòu,6656,3.8232133132826673,129.59695599803663,6428,3.8080758680913065,9,oblique,s25|q26,thick
惨,cǎn,6650,3.8228216453031045,129.48013181895186,6008,3.778729923996112,11,oblique,s27,"sad, pitiful, wretched"
饶,ráo,6644,3.8224296237793562,129.36330763986712,6457,3.8100307864058394,9,level|oblique,q18|xp02,"bountiful, abundant, plentiful"
勋,xūn,6631,3.8215790279120085,129.11018858518347,6449,3.8094923769373414,9,level,sp12,meritorious deed
纶,lún,6621,3.820923587881317,128.91548162004216,6503,3.8131137540078988,7,level,sp11|sp15,green silk thread or tassel
私,sī,6616,3.82059549654449,128.81812813747152,6366,3.8038666342849834,7,level,sp04,"private, personal"
织,zhī,6612,3.8203328448994096,128.740245351415,6216,3.7935110057928574,8,oblique,q04|r13,"weave, knit"
贪,tān,6609,3.8201357518704295,128.6818332618726,6299,3.7992716083498723,8,level,xp13,"be greedy, covet"
娥,é,6603,3.81974129727301,128.56500908278784,6270,3.7972675408307164,10,level,xp05,be beautiful
槛,kǎn,6593,3.819083075743703,128.3703021176466,6466,3.8106357002755367,14,oblique,s29,"threshold, door-sill"
摧,cuī,6588,3.818753590497716,128.27294863507595,6375,3.8044801891059925,14,level,sp10,"destroy, break, injure"
昌,chāng,6568,3.817433144111384,127.88353470479338,6245,3.7955324427101536,8,level,xp07,light of sun
藉,jí,6560,3.81690383937566,127.72776913268035,6308,3.799891684656865,17,oblique,q22|r11,"mat, pad"
庄,zhuāng,6560,3.81690383937566,127.72776913268035,6331,3.8014723135214705,6,level,xp07,"village, hamlet"
右,yòu,6553,3.8164401679561384,127.59147425708144,6332,3.801540906190318,5,oblique,s25|q26,right
萦,yíng,6552,3.816373888752362,127.57200356056732,6435,3.808548551240405,11,level,xp08,"entangle, entwine, coil"
康,kāng,6551,3.8163075994319393,127.55253286405319,6275,3.7976137301530755,11,level,xp07,"peaceful, quiet"
类,lèi,6547,3.8160423409219963,127.4746500779967,6226,3.7942091163464964,9,oblique,q11|q04,"class, group, kind, category"
枫,fēng,6538,3.81544491624435,127.29941380936954,6432,3.808346035740395,8,level,sp01,maple tree
膏,gāo,6530,3.8149131812750734,127.14364823725651,6364,3.8037301709745432,14,level|oblique,xp04|q20,"grease, fat"
娟,juān,6529,3.8148466686044626,127.12417754074238,4535,3.6565772913961134,10,level,xp01,"beautiful, graceful"
输,shū,6527,3.814713612695976,127.08523614771413,6357,3.8032522114304568,13,level|oblique,sp07|q07,"transport, carry, haul"
弥,mí,6524,3.8145139523682383,127.02682405817174,6141,3.7882390973821676,8,level|oblique,s08|s04|sp04,"extensive, full"
拙,zhuō,6523,3.8144473785224875,127.00735336165762,6219,3.7937205568135224,8,oblique,r09,"stupid, clumsy, crude"
反,fǎn,6517,3.814047720995599,126.89052918257285,6102,3.785472203306388,4,level|oblique,sp13|s13,"reverse, opposite, contrary, anti"
牧,mù,6511,3.813647695346896,126.77370500348808,6216,3.7935110057928574,8,oblique,r01,"tend cattle, shepherd"
透,tòu,6495,3.8125791554090465,126.46217385926204,6230,3.794488046659169,10,oblique,q26,"penetrate, pass through"
籍,jí,6489,3.812177774158754,126.34534968017726,6095,3.7849737099544,20,oblique,r11,"record, register, list"
贱,jiàn,6484,3.8118430061764768,126.24799619760662,6171,3.7903555464143865,9,oblique,q17,"mean, low"
谩,mán,6483,3.8117760216029035,126.22852550109249,6326,3.8011291875797033,13,level|oblique,sp14|q16|q15,"deceive, insult"
保,bǎo,6468,3.810770011234363,125.93646505338056,6128,3.787318756624547,9,oblique,s19,"protect, safeguard, defend, care"
霭,ǎi,6467,3.8107028609471167,125.91699435686644,5966,3.7756832490260432,19,oblique,q09,"cloudy sky, haze"
霁,jì,6465,3.810568529216412,125.87805296383819,6370,3.80413943233535,14,oblique,q08,to clear up after rain
惠,huì,6452,3.809694358716923,125.6249339091545,6223,3.79399980098447,12,oblique,q08,"favor, benefit, confer kindness"
穴,xué,6445,3.8092229216894213,125.48863903355563,6274,3.797544514361726,5,oblique,r09,"cave, den, hole"
纪,jì,6434,3.8084810565659506,125.27446137190022,6194,3.791971201020768,6,oblique,s04,"record, annal, historical account"
末,mò,6425,3.8078731320033317,125.09922510327306,6286,3.7983743766815605,5,oblique,r07,"final, last, end"
瓜,guā,6420,3.8075350280688527,125.00187162070242,6162,3.7897216939809213,5,level,xp06,"melon, gourd, cucumber"
泠,líng,6410,3.8068580295188172,124.80716465556112,4352,3.6386888866901232,8,level,xp09,"nice and cool, mild and comfortable"
减,jiǎn,6409,3.8067902715840662,124.787693959047,6309,3.7999605274059833,11,oblique,s29,"decrease, subtract, diminish"
埋,mái,6392,3.8056367663059345,124.45669211830685,6239,3.795114985630363,10,level,sp09,"bury, secrete, conceal"
暇,xiá,6375,3.8044801891059925,124.12569027756666,6275,3.7976137301530755,13,oblique,q22,"leisure, relaxation, spare time"
坠,zhuì,6372,3.804275767129093,124.06727818802428,6221,3.793860201342669,7,oblique,q04,"fall down, drop, sink, go to ruin"
粟,sù,6370,3.80413943233535,124.02833679499601,6108,3.785899028384383,12,oblique,r02,unhusked millet
热,rè,6366,3.8038666342849834,123.9504540089395,6063,3.782687568234966,10,oblique,r09,hot
材,cái,6352,3.8029104894190398,123.67786425774172,6095,3.7849737099544,7,level,sp10,"material, stuff"
吞,tūn,6348,3.80263691808281,123.59998147168521,6117,3.7865384804978026,7,level,sp13,swallow
龟,guī,6342,3.8022262376910696,123.48315729260044,6041,3.781108835729466,7,level,sp04|xp11,turtle or tortoise
寐,mèi,6339,3.8020207517719755,123.42474520305805,6189,3.7916204826928133,12,oblique,q04,sleep
阵,zhèn,6330,3.8014037100173548,123.24950893443089,5785,3.762303363287768,6,oblique,q12,"column, row or file of troops"
坡,pō,6324,3.800991861260171,123.13268475534612,5999,3.7780788619374546,8,level,xp05,"slope, bank, hillside"
浊,zhuó,6323,3.8009231818132183,123.11321405883199,6108,3.785899028384383,9,oblique,r03,"muddy, turbid, dirty, filthy"
盟,méng,6320,3.8007170782823847,123.0548019692896,6201,3.792461731346951,13,level|oblique,q24|xp08,swear
尧,yáo,6318,3.80057962156913,123.01586057626135,5396,3.732071940999866,6,level,xp02,a legendary ancient emperor-sage
兔,tù,6314,3.800304577556198,122.93797779020484,6089,3.7845459740545224,8,oblique,q07,"rabbit, hare"
虑,lǜ,6300,3.7993405494535812,122.66538803900706,6146,3.788592555920359,10,oblique,q06,"be concerned, worry about"
皋,gāo,6298,3.7992026563005243,122.6264466459788,6162,3.7897216939809213,10,level,xp04,the high land along a river
绛,jiàng,6282,3.7980979320624857,122.31491550175275,6127,3.787247880331954,9,oblique,q03,deep red
阻,zǔ,6279,3.797890483058348,122.25650341221036,6140,3.788168371141168,7,oblique,s06,"impede, hinder, obstruct"
慕,mù,6277,3.7977521286507105,122.2175620191821,6059,3.7824009524965296,14,oblique,q07,"long for, desire"
恰,qià,6269,3.7971982698389586,122.06179644706907,5845,3.766784515497859,9,oblique,r17,"just, exactly, precisely"
汗,hàn,6268,3.797128987796552,122.04232575055494,6158,3.7894396845671787,6,level|oblique,sp14|q15,"perspiration, sweat"
藜,lí,6265,3.796921075330168,121.98391366101256,6179,3.7909181952145783,18,level,sp08,"Chenopodium album, pigweed"
涂,tú,6255,3.796227314029438,121.78920669587129,6044,3.7813244556669874,10,level,sp06|sp07|xp06,surname
旷,kuàng,6248,3.7957410208692433,121.65291182027238,6115,3.786396461372304,7,oblique,q23,"extensive, wide, broad"
拾,shí,6247,3.795671505946021,121.63344112375826,6111,3.7861122837198264,9,oblique,r16|r14,"pick up, collect, tidy up"
妍,yán,6247,3.795671505946021,121.63344112375826,6108,3.785899028384383,7,level,xp01,"beautiful, handsome"
涕,tì,6246,3.7956019798941796,121.61397042724413,6041,3.781108835729466,10,oblique,s08|q08,tear
启,qǐ,6232,3.794627444664507,121.34138067604634,6049,3.78168358450735,7,oblique,s08,open
冉,rǎn,6218,3.7936507177071728,121.06879092484854,3252,3.51215053692203,5,oblique,s28,tender
遭,zāo,6216,3.7935110057928574,121.02984953182029,6002,3.7782959910888336,14,level,xp04,"come across, meet with, encounter"
激,jī,6212,3.793231447056521,120.95196674576378,6004,3.7784406835712327,16,oblique,r12,"arouse, excite, incite"
昆,kūn,6194,3.791971201020768,120.60149420850946,5894,3.770410131513906,8,level,sp13,elder brother
禄,lù,6182,3.7911290007272855,120.36784585033993,5983,3.7769190028420456,12,oblique,r01|r02,"blessing, happiness, prosperity"
样,yàng,6181,3.791058743591825,120.3483751538258,5803,3.76365257056453,10,oblique,q23,"shape, form, pattern, style"
焚,fén,6176,3.7907072873276797,120.25102167125516,6071,3.7832602328729483,12,level,sp12,burn
乎,hū,6165,3.7899330809317497,120.03684400959976,4712,3.6732052817790444,5,level,sp07,interrogative or exclamatory final particle
萍,píng,6163,3.789792167730675,119.99790261657151,6029,3.7802452838653524,11,level,xp09,duckweed
棋,qí,6159,3.789510204090254,119.92001983051499,5972,3.776119799052987,12,level,sp04,chess
脉,mài,6149,3.7888044930446476,119.7253128653737,4493,3.652536418593025,9,oblique,r11,"blood vessels, veins, arteries"
役,yì,6148,3.788733858827707,119.70584216885958,5572,3.746011107751926,7,oblique,r11,service
峡,xiá,6133,3.7876729646874923,119.41378172114766,5664,3.7531232446817118,9,oblique,r17,"gorge, strait, ravine"
晋,jìn,6129,3.7873896213521094,119.33589893509114,5836,3.766115283221414,10,oblique,q12,"advance, increase"
陪,péi,6119,3.7866804531966483,119.14119196994987,6022,3.7797407511767402,10,level,sp10,"accompany, be with, keep company"
执,zhí,6117,3.7865384804978026,119.1022505769216,5883,3.769598848387446,6,oblique,r14,hold in hand
默,mò,6115,3.786396461372304,119.06330918389335,4884,3.688775655272844,16,oblique,r13,silent
笋,sǔn,6110,3.7860412102425536,118.96595570132271,5974,3.7762652182681093,10,oblique,s11,bamboo shoots
邀,yāo,6110,3.7860412102425536,118.96595570132271,6029,3.7802452838653524,16,level,xp02,"invite, welcome"
稍,shāo,6102,3.785472203306388,118.81019012920969,5401,3.7324741772811936,12,level|oblique,xp03|s18|q19,"little, slightly"
奴,nú,6098,3.7851874200293616,118.73230734315317,5694,3.7554174628109362,5,level,sp07,"slave, servant"
槎,chá,6092,3.7847598946640044,118.61548316406841,5974,3.7762652182681093,13,oblique,s21,raft
镇,zhèn,6091,3.784688599501421,118.59601246755427,5905,3.7712199019495327,15,oblique,q12,"town, market place"
媚,mèi,6087,3.7844033017530077,118.51812968149777,5934,3.773347541980823,12,oblique,q04,"charming, attractive"
愚,yú,6082,3.7840464158081133,118.42077619892711,5602,3.748343104487549,13,level,sp07,"stupid, doltish, foolish"
帽,mào,6082,3.7840464158081133,118.42077619892711,5962,3.7753919716966116,12,oblique,q20,"hat, cap"
烈,liè,6074,3.7834747875822456,118.26501062681409,5411,3.7332775339325814,10,oblique,r09,"fiery, violent, vehement, ardent"
鉴,jiàn,6071,3.7832602328729483,118.2065985372717,5844,3.7667102072622587,13,oblique,q30,"mirror, looking glass"
稳,wěn,6069,3.783117137490467,118.16765714424346,5927,3.7728349272390176,14,oblique,s13,"stable, firm, solid, steady"
爽,shuǎng,6067,3.7829739949440477,118.12871575121521,5969,3.7759015788916743,11,oblique,s22,"happy, cheerful"
标,biāo,6065,3.7828308052025914,118.08977435818694,5964,3.775537634780957,9,level|oblique,xp02|s17,"mark, symbol, label, sign"
习,xí,6056,3.782185866492016,117.91453808955978,5394,3.7319109421168717,3,oblique,r14,practice
韩,hán,6044,3.7813244556669874,117.68088973139027,5702,3.756027212973441,12,level,sp14,fence
绪,xù,6044,3.7813244556669874,117.68088973139027,5921,3.7723950610819994,11,oblique,s06,end of thread
术,shù,6041,3.781108835729466,117.62247764184788,5768,3.7610252517113727,5,oblique,q04|r04,"art, skill, special feat"
阅,yuè,6040,3.7810369386211318,117.60300694533375,5939,3.773713325277021,10,oblique,r09,"examine, inspect, review, read"
特,tè,6031,3.7803893284709527,117.42777067670659,5798,3.763278211018978,10,oblique,r13,"special, unique, distinguished"
促,cù,6019,3.7795243433247894,117.19412231853705,5784,3.762228284286474,9,oblique,r02,"urge, press, hurry"
顿,dùn,6014,3.779163423764498,117.09676883596642,5836,3.766115283221414,10,oblique,q14,"pause, stop"
咽,yàn,6012,3.77901897191487,117.05782744293816,5771,3.7612510743086625,9,level|oblique,r09|xp01|q17,throat
溟,míng,6010,3.7788744720027387,117.0188860499099,5750,3.75966784468963,13,level|oblique,xp09|s24,drizzling rain
滩,tān,6009,3.7788022040132385,116.99941535339578,5405,3.732795698289329,13,level|oblique,sp14|q15,"bank, a sandbar, shoal"
耿,gěng,6009,3.7788022040132385,116.99941535339578,3856,3.586137025230793,10,oblique,s23,"bright, shining"
敌,dí,6006,3.7785853278629618,116.94100326385339,5703,3.7561033715851053,10,oblique,r12,"enemy, foe, rival"
陇,lǒng,6002,3.7782959910888336,116.86312047779687,5727,3.757927183113329,7,oblique,s02,mountain located between Shanxi
诵,sòng,5993,3.777644277696485,116.68788420916972,5867,3.768416088216331,9,oblique,q02,"recite, chant, repeat"
屐,jī,5978,3.7765559107032614,116.39582376145779,5905,3.7712199019495327,10,oblique,r11,"wooden shoes, clogs"
米,mǐ,5974,3.7762652182681093,116.31794097540129,5673,3.7538127835647015,6,oblique,s08,hulled or husked uncooked rice
祥,xiáng,5964,3.775537634780957,116.12323401026,5696,3.7555699806288,10,level,xp07,"good luck, good omen"
算,suàn,5935,3.77342072329061,115.55858381135029,5759,3.760347078529906,14,oblique,s14|q15,"count, calculate, figure"
辨,biàn,5932,3.773201142356344,115.5001717218079,5715,3.7570162347313003,16,oblique,s16,"distinguish, discriminate"
梨,lí,5928,3.7729081949712717,115.4222889357514,5756,3.760120785264567,11,level,sp04|sp08,pear
洪,hóng,5926,3.7727616471440317,115.38334754272313,5688,3.7549595877217095,9,level,sp01,"vast, immense"
讵,jù,5924,3.7726150498491706,115.34440614969488,5746,3.7593656216559284,6,oblique,q06|s06,an interjection used express surprise
梢,shāo,5921,3.7723950610819994,115.2859940601525,5730,3.75815462196739,11,level,xp03,pointed tip of something long like a branch
瓦,wǎ,5911,3.771660959348887,115.09128709501121,5743,3.7591388162811663,4,oblique,s21,tile
活,huó,5908,3.771440486639911,115.03287500546882,5366,3.72965066833592,9,oblique,r07,"live, exist, survive"
暝,míng,5896,3.7705574748509942,114.7992266472993,5817,3.7646990637983677,14,level|oblique,xp09|q25,"dark, obscure"
肩,jiān,5882,3.7695250201710504,114.5266368961015,5745,3.7592900330243033,8,level,xp01,shoulders
廊,láng,5880,3.7693773260761376,114.48769550307324,5769,3.7611005389581416,11,level,xp07,"corridor, porch, veranda"
韶,sháo,5879,3.7693034601890814,114.4682248065591,5704,3.7561795168438086,14,level,xp02,music of the emperor Shun
惆,chóu,5878,3.7692295817365933,114.44875411004499,5794,3.7629784908677424,11,level,xp11,"distressed, regretful, sad"
宋,sòng,5866,3.7683420586445333,114.21510575187546,5597,3.74795530690673,7,oblique,q02,Song dynasty
皎,jiǎo,5859,3.767823498007516,114.07881087627655,4105,3.6133131614554594,11,oblique,s17,white
滨,bīn,5857,3.7676752240279594,114.0398694832483,5730,3.75815462196739,13,level,sp11,"beach, sea coast"
腊,là,5847,3.766933093837283,113.84516251810702,5672,3.7537362221750095,12,oblique,r11|r15,year-end sacrifice
邑,yì,5847,3.766933093837283,113.84516251810702,5554,3.7446058754142384,7,oblique,r14,area
质,zhì,5835,3.766040860381388,113.61151415993749,5615,3.749349760597476,8,oblique,q04|r04,"matter, material, substance"
蹄,tí,5784,3.762228284286474,112.61850863771694,5655,3.752432609261474,16,level,sp08,hoof
博,bó,5777,3.7617023675414125,112.48221376211805,5591,3.7474894922586723,12,oblique,r10,"gamble, play games"
幻,huàn,5771,3.7612510743086625,112.36538958303329,5480,3.738780558484369,4,oblique,q16,"illusion, fantasy, mirage"
冈,gāng,5761,3.7604978752265263,112.170682617892,5548,3.744136452401247,4,level,xp07,ridge or crest of hill
圃,pǔ,5752,3.759818877374826,111.99544634926484,5595,3.7478000908643683,10,oblique,s07|q07,"garden, cultivated field"
逝,shì,5748,3.7595167594621874,111.91756356320835,5511,3.741230411025471,10,oblique,r17|q08,pass away
娱,yú,5732,3.7583061817253065,111.60603241898228,5621,3.7498135852929373,10,level,sp07,"pleasure, enjoyment, amusement"
闾,lǘ,5719,3.7573200965466715,111.35291336429863,5606,3.748653093424267,9,level,sp06,village of twenty-five families
妻,qī,5715,3.7570162347313003,111.27503057824211,5355,3.7287594751678736,8,level|oblique,q08|sp08,wife
抛,pāo,5713,3.7568642240605485,111.23608918521386,5558,3.744918542441353,7,level,xp03,throw (away)
仗,zhàng,5712,3.7567881987681173,111.21661848869972,5603,3.748420622467568,5,oblique,s22|q23,rely upon
品,pǐn,5711,3.7567121601647715,111.19714779218559,5511,3.741230411025471,9,oblique,s26|r17,"article, product, commodity"
捲,juǎn,5710,3.7566361082458477,111.17767709567147,5578,3.7464785099300304,11,oblique,s16,"curl, roll up"
叟,sǒu,5705,3.7562556487542333,111.08032361310082,5479,3.7387013004347094,9,level|oblique,s25|xp11,old man
琅,láng,5697,3.7556462194566795,110.9245580409878,5070,3.7050079593333356,11,level,xp07,a variety of white carnelian
局,jú,5695,3.7554937284151193,110.88561664795955,5467,3.7377490738915564,7,oblique,r02,"bureau, office"
